novel,character,role,total_mentions,named_mentions,positions_found,unique_chunk_anchors,text_length,coverage_pct,most_common_mention,most_common_count,first_position_pct,last_position_pct,all_anchors_found,named_list
Novel12,Mrs. Rawson 's,ally,38,18,36.0,3.0,23779.0,25.3,Mrs. Rawson,18.0,30.28,60.45,True,
Novel12,"Mrs. Forest , who now seemed to her a sensible and practical woman",ally,20,12,17.0,3.0,23779.0,25.3,Forest,8.0,42.02,87.17,True,
Novel12,Laura interjected,ally,48,21,22.0,3.0,23779.0,22.12,Laura,20.0,46.82,98.94,True,
Novel13,my brother George,hero,19,10,9.0,3.0,11026.0,54.56,Sir Henry,8.0,10.05,66.13,True,
Novel13,Good,hero,8,7,14.0,3.0,11026.0,52.57,Good,13.0,10.18,92.43,True,
Novel13,My Dear Quatermain,hero,3,3,6.0,3.0,11026.0,54.51,Quatermain,4.0,26.85,79.92,True,
Novel13,your boy Harry -LRB- there 's a bribe for you -RRB-,hero,40,16,13.0,3.0,11026.0,46.66,George Curtis,7.0,13.6,98.2,True,
Novel13,"Jim , that worthy lost it",ally,8,5,5.0,3.0,11026.0,54.53,Jim,5.0,15.69,45.19,True,
Novel13,he and Jim,ally,7,2,2.0,2.0,11026.0,54.58,he and Jim,1.0,34.2,41.86,True,
Novel14,Captain Cedric Errol,hero,68,27,28.0,3.0,18889.0,22.47,Cedric,23.0,0.0,98.96,True,
Novel14,"an Englishman , because his mamma had told him so",ally,21,12,10.0,3.0,18889.0,27.82,his papa,7.0,0.53,53.44,True,
Novel14,his mamma about him,ally,26,12,11.0,3.0,18889.0,26.42,his mamma,10.0,0.75,95.95,True,
Novel14,the little boy,hero,19,5,4.0,2.0,18889.0,20.82,her little boy,2.0,1.12,98.07,True,
Novel14,His mother,ally,33,6,4.0,3.0,18889.0,26.87,his mother,3.0,3.26,97.34,True,
Novel14,"A tall , thin old gentleman with a sharp face",neutral,12,2,1.0,1.0,18889.0,19.28,The tall old gentleman,1.0,98.66,98.66,True,
Novel14,the Captain 's,ally,30,5,4.0,3.0,18889.0,31.82,the Captain,4.0,14.43,32.53,True,
Novel14,the Captain 's father,villain,10,2,,,,,,,,,,"[""the Captain 's father"", 'a member of such a great family']"
Novel14,boys at Eton,neutral,12,4,3.0,3.0,18889.0,31.89,his elder brothers,2.0,19.11,21.03,True,
Novel14,The old Earl,villain,29,4,7.0,3.0,18889.0,31.85,Earl,3.0,21.84,29.05,True,
Novel14,His valet,neutral,19,1,1.0,1.0,18889.0,31.8,His valet,1.0,29.95,29.95,True,
Novel14,the rich old lady 's pretty companion,ally,7,1,,,,,,,,,,"[""the rich old lady 's pretty companion""]"
Novel14,"` Mary , ' sez he , ` I 'm very much int ` rusted in the ` lection , ' sez he",ally,32,16,14.0,3.0,18889.0,30.39,Mary,14.0,56.69,96.32,True,
Novel14,quite a little fellow,ally,18,2,2.0,2.0,18889.0,31.85,her old servant,1.0,56.86,59.75,True,
Novel14,His greatest friend,ally,11,4,2.0,2.0,18889.0,31.81,His greatest friend,1.0,70.78,71.07,True,
Novel14,Hobbs,ally,10,3,16.0,3.0,18889.0,31.87,Hobbs,16.0,71.42,91.68,True,
Novel14,Mr. Hobbs who gave him his first interest in politics,ally,18,13,15.0,3.0,18889.0,31.84,Mr. Hobbs,15.0,71.4,91.66,True,
Novel14,the milkman and the baker and the apple-woman,ally,3,1,,,,,,,,,,['the milkman and the baker and the apple-woman']
Novel15,"my uncle , Sir John",ally,3,3,2.0,2.0,18015.0,27.93,my uncle,2.0,94.58,96.52,True,
Novel15,the Prince,hero,10,5,6.0,3.0,18015.0,28.23,the Prince,6.0,0.1,46.35,True,
Novel15,Seraphina 's,hero,33,13,14.0,3.0,18015.0,29.21,Seraphina,14.0,1.27,89.77,True,
Novel15,"Sir John -LRB- 2 vols. , London : Longman , Hurst , Rees , Orme and Brown -RRB-",ally,27,6,8.0,3.0,18015.0,29.89,Sir John,4.0,1.99,94.66,True,
Novel15,the Princess,hero,8,3,3.0,3.0,18015.0,33.43,the Princess,3.0,6.09,88.22,True,
Novel15,Otto the Hunter,hero,32,15,19.0,3.0,18015.0,33.4,Otto,19.0,8.0,89.72,True,
Novel15,Gondremark,adversary,8,3,5.0,3.0,18015.0,32.09,Gondremark,5.0,12.41,95.61,True,
Novel15,"The miller , hearing steps",ally,12,5,4.0,3.0,18015.0,33.36,The miller,3.0,35.39,48.16,True,
Novel15,Otto and Seraphina,hero,2,2,2.0,2.0,18015.0,33.38,Otto and Seraphina,2.0,45.45,89.72,True,
Novel15,Mr. Cotterill,neutral,5,4,6.0,3.0,18015.0,28.51,Cotterill,3.0,92.81,98.6,True,
Novel16,"Beatrice , who came next",hero,55,38,42.0,3.0,27241.0,15.04,Beatrice,41.0,0.0,99.62,True,
Novel16,Bastianello 's,ally,43,15,17.0,3.0,27241.0,19.1,Bastianello,17.0,0.31,95.57,True,
Novel16,herself with trying to see into Bastianello 's eyes,ally,29,13,11.0,3.0,27241.0,19.15,Teresina,11.0,0.37,93.91,True,
Novel16,Beatrice Granmichele,hero,3,3,3.0,3.0,27241.0,22.08,Donna Beatrice,2.0,73.22,92.8,True,
Novel16,Bastianello,ally,21,1,17.0,3.0,27241.0,19.1,Bastianello,17.0,0.31,95.57,True,
Novel16,her mother,ally,7,5,5.0,3.0,27241.0,22.06,her mother,4.0,11.4,62.12,True,
Novel16,Beatrice,hero,5,3,1.0,1.0,27241.0,22.14,his daughter,1.0,29.83,29.83,True,
Novel16,Ruggiero of the Children of the King,hero,76,33,35.0,3.0,27241.0,16.71,Ruggiero,34.0,0.57,98.54,True,
Novel16,"the Marchesa , interrupting him",neutral,45,26,358.0,3.0,27241.0,15.46,the,324.0,0.19,99.26,True,
Novel16,My husband,neutral,12,7,4.0,3.0,27241.0,22.11,my poor husband,2.0,25.67,38.27,True,
Novel16,a musician,neutral,13,2,2.0,2.0,27241.0,22.03,a musician,2.0,52.15,52.63,True,
Novel16,the two porters,neutral,12,1,1.0,1.0,27241.0,22.12,the two porters,1.0,62.39,62.39,True,
Novel17,more resplendent in those Chapel-Sunday garments with which,ally,9,7,10.0,3.0,16075.0,36.44,Branthwaite,6.0,4.83,81.89,True,
Novel17,the old weaver 's,ally,4,4,2.0,2.0,16075.0,37.42,the old weaver,2.0,7.34,41.52,True,
Novel17,Mrs. Ray 's,ally,11,5,5.0,3.0,16075.0,37.44,Mrs. Ray,5.0,7.83,83.94,True,
Novel17,her son Willy,hero,16,7,8.0,3.0,16075.0,35.69,Willy,7.0,10.73,95.4,True,
Novel17,"Ralph , standing by her side",hero,26,14,14.0,3.0,16075.0,34.38,Ralph,13.0,12.12,96.78,True,
Novel17,Robbie Anderson,ally,6,3,3.0,3.0,16075.0,37.41,Robbie Anderson,3.0,20.09,90.43,True,
Novel17,"Liza , who is trying to look absent and unconcerned",ally,23,14,14.0,3.0,16075.0,37.39,Liza,14.0,21.07,91.1,True,
Novel17,"Robbie , with undisturbed good humor",ally,41,23,25.0,3.0,16075.0,37.39,Robbie,20.0,20.09,90.43,True,
Novel17,"Mattha , with the manner of a man who is conscious that he is making an original observation",ally,8,7,9.0,3.0,16075.0,37.47,Mattha,9.0,6.66,91.63,True,
Novel17,"Rotha , almost in a whisper",hero,7,7,9.0,3.0,16075.0,34.49,Rotha,9.0,41.44,96.6,True,
Novel17,Laddie,ally,5,2,2.0,2.0,16075.0,37.44,Laddie,1.0,66.42,66.47,True,
Novel18,Nehushta 's,hero,58,20,23.0,3.0,13756.0,30.35,Nehushta,16.0,0.0,98.52,True,
Novel18,"Zoroaster , that I would rather die with thee than live with any other",hero,38,20,21.0,3.0,13756.0,37.39,Zoroaster,16.0,8.8,98.28,True,
Novel18,The priests,ally,17,7,9.0,3.0,13756.0,43.71,The priests,9.0,8.56,81.09,True,
Novel18,The seventy priests,ally,6,1,1.0,1.0,13756.0,43.9,The seventy priests,1.0,20.92,20.92,True,
Novel18,the high priest 's,hero,11,4,4.0,3.0,13756.0,37.35,the high priest,4.0,24.58,98.35,True,
Novel18,the little Syrian maid,hero,15,5,3.0,2.0,13756.0,31.03,the little Syrian maid,2.0,31.5,98.72,True,
Novel18,hideous men,villain,10,1,1.0,1.0,13756.0,43.64,hideous men,1.0,74.75,74.75,True,
Novel18,Darius the king,ally,10,1,1.0,1.0,13756.0,40.24,Darius the king,1.0,93.41,93.41,True,
Novel19,"John , who though he had heard all that had been said",hero,27,16,26.0,3.0,17959.0,25.49,John,25.0,0.54,96.98,True,
Novel19,Mr. Ambrose coming towards him,ally,22,16,24.0,3.0,17959.0,26.02,Ambrose,16.0,0.03,96.1,True,
Novel19,Goddard,villain,19,8,7.0,3.0,17959.0,28.33,the man,5.0,0.6,26.13,True,
Novel19,"Mr. Booley , who had pushed past Mr. Ambrose and stood confronting the doctor with a look which was intended to express a combination of sarcasm , superior cunning and authority",villain,48,17,21.0,3.0,17959.0,28.68,Booley,12.0,0.74,42.7,True,
Novel19,Doctor,ally,5,4,16.0,3.0,17959.0,29.24,Doctor,13.0,0.96,37.42,True,
Novel19,My dear Mrs. Juxon,hero,55,30,40.0,3.0,17959.0,27.36,Juxon,22.0,2.44,96.53,True,
Novel19,"Doctor Longstreet , who was fifteen or twenty years older than the detective but still strong and active",ally,25,11,20.0,3.0,17959.0,30.57,Doctor Longstreet,10.0,2.52,37.46,True,
Novel19,"Mr. Short , sir",hero,38,17,35.0,3.0,17959.0,25.49,John,18.0,0.54,97.01,True,
Novel19,Mrs. Ambrose of what was happening,ally,16,6,7.0,3.0,17959.0,31.89,Mrs. Ambrose,7.0,11.18,96.07,True,
Novel19,"the physician , gravely , but looking hard at the unhappy woman",ally,8,6,4.0,3.0,17959.0,33.45,the physician,4.0,20.67,38.82,True,
Novel19,"the vicar , who was nearest to him",ally,15,4,3.0,3.0,17959.0,33.44,the vicar,3.0,20.77,47.14,True,
Novel19,Mrs. Ambrose and Mary Goddard,ally,27,20,19.0,3.0,17959.0,30.66,Mary,18.0,30.04,96.5,True,
Novel19,the good lady,ally,17,3,3.0,2.0,17959.0,33.55,his wife,2.0,61.61,74.76,True,
Novel19,poor little Nellie,hero,14,7,7.0,3.0,17959.0,28.92,Nellie,6.0,67.11,98.2,True,
Novel2,"Milly , when they could not see Aunt Emma any more , and the last bit of Brownholme was slipping away , away , quite out of sight , `` I think Ravensnest is the nicest place we ever stopped at",hero,48,27,20.0,3.0,8346.0,58.12,Milly,20.0,5.81,96.38,True,
Novel2,"Olly , with his eyes fastened on Becky 's plate of strawberries , which was on the chest of drawers",hero,25,15,14.0,3.0,8346.0,66.06,Olly,14.0,5.93,84.77,True,
Novel20,Mr. Eldon,hero,15,9,15.0,3.0,36013.0,14.99,Eldon,8.0,1.01,90.57,True,
Novel20,"Hubert , his eyes still on her",hero,30,14,16.0,3.0,36013.0,14.99,Hubert,16.0,1.01,84.75,True,
Novel20,Mr. Mutimer 's,villain,9,9,13.0,3.0,36013.0,15.89,Mutimer,12.0,2.12,79.66,True,
Novel20,The vicar,ally,6,5,6.0,3.0,36013.0,15.9,the vicar,4.0,1.83,82.9,True,
Novel20,lad of Bolton 's,neutral,5,1,,,,,,,,,,"[""lad of Bolton 's""]"
Novel20,Mr. Wyvern,ally,9,7,5.0,3.0,36013.0,16.7,Mr. Wyvern,5.0,6.31,21.92,True,
Novel20,"Adela , overcome by the latter 's goodness",hero,150,53,54.0,3.0,36013.0,16.69,Adela,52.0,20.08,95.02,True,
Novel20,His wife,ally,7,3,3.0,3.0,36013.0,16.7,his wife,3.0,20.83,24.63,True,
Novel20,Mrs. Westlake,ally,44,6,9.0,3.0,36013.0,16.7,Westlake,5.0,22.42,83.27,True,
Novel20,Mrs. Waltham,ally,13,10,13.0,3.0,36013.0,16.71,Waltham,8.0,23.21,41.82,True,
Novel20,that Alfred,ally,10,5,114.0,3.0,36013.0,12.29,that,109.0,0.47,99.01,True,
Novel20,"Letty best succeeded in conciliating her , for Letty",ally,47,16,16.0,3.0,36013.0,16.69,Letty,16.0,25.07,41.3,True,
Novel20,"Stella and those toilers , however noble and devoted",ally,23,19,19.0,3.0,36013.0,16.68,Stella,19.0,25.65,90.15,True,
Novel20,"you , Mrs. Mutimer",neutral,19,18,18.0,3.0,36013.0,16.68,Alice,15.0,29.74,79.65,True,
Novel20,Mrs. Rodman,neutral,6,2,3.0,2.0,36013.0,16.67,Rodman,2.0,29.84,32.32,True,
Novel20,Mr. Keene,ally,17,4,7.0,3.0,36013.0,16.7,Keene,4.0,43.03,46.04,True,
Novel20,The old woman,neutral,9,2,2.0,2.0,36013.0,16.75,The old woman,2.0,50.37,50.96,True,
Novel20,her dearest friend,ally,20,2,1.0,1.0,36013.0,16.7,her dearest friend,1.0,52.59,52.59,True,
Novel20,Emma 's,ally,23,10,10.0,3.0,36013.0,16.7,Emma,10.0,61.14,69.12,True,
Novel20,Mrs. Clay,neutral,4,1,1.0,1.0,36013.0,16.72,Mrs. Clay,1.0,65.8,65.8,True,
Novel21,loving Edwin,neutral,13,7,9.0,3.0,15586.0,38.59,Edwin,6.0,22.47,33.66,True,
Novel21,Poor little Angelina,neutral,14,7,7.0,3.0,15586.0,38.62,Angelina,6.0,22.53,33.06,True,
Novel21,the boy of twenty,neutral,12,1,1.0,1.0,15586.0,38.67,the boy of twenty,1.0,36.37,36.37,True,
Novel21,Young ladies,neutral,7,3,3.0,2.0,15586.0,38.57,Young ladies,1.0,46.2,53.54,True,
Novel22,Alan,ally,14,10,9.0,3.0,7167.0,63.46,Alan,9.0,0.98,95.55,True,
Novel22,Alan,ally,6,1,1.0,1.0,7167.0,67.06,my friend,1.0,8.25,8.25,True,
Novel22,the lawyer,ally,5,3,3.0,2.0,7167.0,78.3,the lawyer,2.0,8.4,77.49,True,
Novel22,Alan,ally,4,3,6.0,3.0,7167.0,80.49,Thomson,6.0,10.33,70.41,True,
Novel22,Alan,ally,6,6,6.0,3.0,7167.0,80.21,Mr. Thomson,6.0,10.27,70.35,True,
Novel22,Mr. David,hero,2,2,2.0,2.0,7167.0,83.81,Mr. David,2.0,14.71,50.29,True,
Novel22,your uncle,villain,16,1,1.0,1.0,7167.0,83.76,your uncle,1.0,30.38,30.38,True,
Novel23,Alice 's,hero,45,14,14.0,3.0,16046.0,29.51,Alice,13.0,3.58,99.36,True,
Novel23,Mrs. Barton,villain,5,1,1.0,1.0,16046.0,31.43,Mrs. Barton,1.0,4.24,4.24,True,
Novel23,Zoe Brennan,ally,4,4,4.0,3.0,16046.0,36.9,Zoe,3.0,5.8,8.06,True,
Novel23,Father Shannon,neutral,7,1,1.0,1.0,16046.0,37.45,Father Shannon,1.0,8.72,8.72,True,
Novel23,Alice and the doctor,hero,7,1,1.0,1.0,16046.0,37.62,Alice and the doctor,1.0,12.55,12.55,True,
Novel23,Edward 's,ally,6,4,4.0,3.0,16046.0,37.48,Edward,4.0,16.38,35.03,True,
Novel23,Allise And Edward,ally,6,3,1.0,1.0,16046.0,37.75,our travellers,1.0,28.59,28.59,True,
Novel23,May 's,ally,3,3,4.0,3.0,16046.0,37.51,May,4.0,37.12,93.36,True,
Novel23,the eldest son,neutral,4,2,2.0,2.0,16046.0,37.58,the eldest son,1.0,40.43,80.56,True,
Novel23,Captain Gibbon,neutral,3,2,2.0,2.0,16046.0,37.41,Captain Gibbon,2.0,87.93,88.49,True,
Novel23,Captain,neutral,6,1,3.0,3.0,16046.0,37.41,Captain,3.0,87.93,89.2,True,
Novel24,"Heliobas , with a smile",ally,10,7,5.0,3.0,31622.0,19.01,Heliobas,4.0,81.16,95.92,True,
Novel24,"Zara , half gaily",ally,21,7,5.0,3.0,31622.0,16.34,Zara,5.0,88.88,99.18,True,
Novel25,Mr. Utterson ; for he was undemonstrative at the best,hero,112,23,33.0,3.0,19296.0,26.01,Utterson,17.0,0.0,90.86,True,
Novel25,a man of a rugged,hero,50,14,16.0,3.0,19296.0,22.89,the lawyer,11.0,0.07,98.68,True,
Novel25,"Mr. Enfield : `` I was coming home from some place at the end of the world , about three o'clock of a black winter morning , and my way lay through a part of town where there was literally",ally,28,17,21.0,3.0,19296.0,31.21,Enfield,11.0,9.22,92.27,True,
Novel25,Ed Hyde,villain,9,5,10.0,3.0,19296.0,26.51,a man,9.0,0.15,93.11,True,
Novel25,the child 's,neutral,8,7,6.0,3.0,19296.0,31.2,the child,6.0,27.05,93.71,True,
Novel25,"the doctor , for whom she had been sent",neutral,16,6,6.0,3.0,19296.0,31.16,the doctor,6.0,29.75,93.38,True,
Novel25,Mr Hyde ,villain,8,7,10.0,3.0,19296.0,26.72,Hyde,7.0,57.98,99.25,True,
Novel25,Dr. Jekyll 's,neutral,2,2,,,,,,,,,,"[""Dr. Jekyll 's"", ""Dr. Jekyll 's""]"
Novel25,Henry Jekyll 's,neutral,8,4,2.0,2.0,19296.0,31.21,Henry Jekyll,2.0,72.27,83.07,True,
Novel25,"Lanyon , '' said he `` you",ally,19,12,13.0,3.0,19296.0,31.18,Lanyon,6.0,77.65,94.27,True,
Novel26,"I , who write this",hero,178,4,3.0,2.0,19011.0,21.24,a dead man,1.0,0.12,74.3,True,
Novel26,"thee , Fabio",hero,12,11,18.0,3.0,19011.0,30.39,Thou,12.0,22.02,96.32,True,
Novel26,"my father , Count Filippo Romani",neutral,11,7,5.0,3.0,19011.0,31.65,my father,2.0,24.19,70.84,True,
Novel26,Guido Ferrari ,villain,30,12,23.0,3.0,19011.0,28.9,thou,12.0,38.5,97.49,True,
Novel26,those ancient and sorrowful philosophers,neutral,5,1,,,,,,,,,,['those ancient and sorrowful philosophers']
Novel26,Nina,villain,36,9,7.0,3.0,19011.0,29.2,Nina,4.0,75.14,97.0,True,
Novel27,Mr Hare,neutral,8,6,8.0,3.0,17902.0,28.94,Mr Hare,4.0,0.73,82.67,True,
Novel27,his daughter,neutral,7,1,1.0,1.0,17902.0,19.69,his daughter,1.0,0.86,0.86,True,
Novel27,John Norton 's,hero,117,19,17.0,3.0,17902.0,26.61,John,16.0,0.96,96.88,True,
Novel27,"Kitty , their girl-friend",neutral,16,5,7.0,3.0,17902.0,31.94,Kitty,7.0,4.18,76.76,True,
Novel27,The maid-servant,neutral,4,2,2.0,2.0,17902.0,33.38,the maid-servant,2.0,5.39,6.08,True,
Novel27,The doctor too,neutral,6,2,3.0,3.0,17902.0,33.57,the doctor,3.0,6.51,42.49,True,
Novel27,his dead daughter 's,neutral,4,3,3.0,3.0,17902.0,33.59,his dead daughter,3.0,6.89,27.1,True,
Novel27,His wife,ally,7,4,4.0,2.0,17902.0,33.57,no wife,2.0,11.26,24.77,True,
Novel27,the lodge-keeper,neutral,4,1,1.0,1.0,17902.0,33.6,the lodge-keeper,1.0,43.0,43.0,True,
Novel27,Annie and Mary Austin,ally,13,3,4.0,3.0,17902.0,33.63,Austin,3.0,63.1,82.41,True,
Novel28,"Marzio , the strong-minded freethinker",hero,60,11,51.0,3.0,31797.0,14.25,Marzio,51.0,0.0,98.58,True,
Novel28,Paolo,ally,14,14,14.0,3.0,31797.0,14.74,his brother,13.0,0.81,98.64,True,
Novel28,"Maria Luisa , who was very far from guessing what an intimate connection existed between the crucifix and Paolo in her husband 's mind",ally,14,7,6.0,3.0,31797.0,18.94,Maria Luisa,6.0,62.8,95.72,True,
Novel28,"Paolo , whom he had nearly killed that morning",ally,108,46,136.0,3.0,31797.0,14.39,that,86.0,0.09,98.54,True,
Novel28,past Assunta,neutral,10,5,9.0,3.0,31797.0,18.92,Assunta,5.0,63.56,94.93,True,
Novel28,Marzio,hero,20,5,5.0,3.0,31797.0,18.89,the artist,5.0,4.99,95.23,True,
Novel28,The surgeon,neutral,4,3,3.0,3.0,31797.0,17.56,The surgeon,3.0,67.93,98.03,True,
Novel28,the Cardinal,neutral,8,2,2.0,2.0,31797.0,18.9,the Cardinal,2.0,17.33,17.63,True,
Novel28,Lucia and Gianbattista,ally,4,4,2.0,2.0,31797.0,18.9,Gianbattista and Lucia,2.0,74.9,77.51,True,
Novel28,The young girl,ally,7,2,2.0,2.0,31797.0,18.95,The young girl,2.0,75.32,76.67,True,
Novel28,Gianbattista,ally,15,9,9.0,3.0,31797.0,18.56,Gianbattista,9.0,18.68,97.25,True,
Novel28,Marzio in a tone which was not like his own,hero,249,42,52.0,3.0,31797.0,14.25,Marzio,51.0,0.0,98.58,True,
Novel28,the workmen,neutral,6,1,1.0,1.0,31797.0,18.92,the workmen,1.0,57.08,57.08,True,
Novel29,"Mr. Carmichael , rather coldly",ally,76,22,33.0,3.0,32244.0,15.6,Carmichael,18.0,0.08,74.63,True,
Novel29,"her with the quiet , clear look Miss Minchin particularly disliked",hero,224,65,68.0,3.0,32244.0,13.22,Sara,66.0,0.4,99.33,True,
Novel29,Mr Carrisford,adversary,6,5,4.0,3.0,32244.0,18.65,my friend,3.0,4.05,73.87,True,
Novel29,your poor papa,neutral,12,3,3.0,2.0,32244.0,18.63,your poor papa,2.0,5.54,32.84,True,
Novel29,Missee sahib,hero,6,5,8.0,3.0,32244.0,18.63,Sahib,5.0,60.72,69.34,True,
Novel29,Ram Dass,ally,32,13,13.0,3.0,32244.0,18.69,Ram Dass,13.0,7.2,73.18,True,
Novel29,`` The Indian gentleman .,hero,40,21,16.0,3.0,32244.0,15.89,the Indian gentleman,15.0,8.9,99.79,True,
Novel29,Miss Minchin,adversary,81,53,72.0,3.0,32244.0,18.66,Minchin,37.0,12.29,85.97,True,
Novel29,poor Miss Amelia,ally,49,12,21.0,3.0,32244.0,18.66,Amelia,9.0,15.08,56.38,True,
Novel29,"the woman , `` I told her to come when she was hungry , and when she 'd come I 'd give her odd jobs to do ; an ' I found she was willing , and somehow I got to like her ; and the end of it was , I 've given her a place an ' a home , and she helps me , an ' behaves well , an ' is as thankful as a girl can be",ally,25,7,6.0,3.0,32244.0,18.32,the woman,6.0,87.59,96.78,True,
Novel29,Lottie,neutral,7,3,3.0,3.0,32244.0,18.71,Lottie,3.0,34.74,77.65,True,
Novel29,Becky how easily he had done it before,ally,9,7,5.0,3.0,32244.0,18.65,Becky,5.0,43.77,86.81,True,
Novel29,the little princess,hero,3,3,1.0,1.0,32244.0,18.65,the little princess,1.0,77.34,77.34,True,
Novel29,Jessie,neutral,4,2,2.0,2.0,32244.0,18.7,Jessie,2.0,51.4,53.56,True,
Novel3,Silver,adversary,50,15,17.0,3.0,10994.0,40.12,Silver,16.0,0.16,96.56,True,
Novel3,Old Pew,villain,4,4,6.0,3.0,10994.0,46.72,Pew,4.0,1.14,73.53,True,
Novel3, Gentlemen of fortune,villain,10,4,2.0,2.0,10994.0,54.77,gentlemen of fortune,2.0,21.52,33.39,True,
Novel3,Mr. Arrow,adversary,2,1,1.0,1.0,10994.0,53.67,Mr. Arrow,1.0,91.58,91.58,True,
Novel3,old John 's,adversary,11,8,10.0,3.0,10994.0,54.76,John,7.0,35.74,89.34,True,
Novel3,Dick,adversary,32,12,11.0,3.0,10994.0,49.15,Dick,10.0,47.33,95.37,True,
Novel3,Coxswain,villain,14,4,2.0,2.0,10994.0,54.65,the coxswain,2.0,54.79,83.88,True,
Novel3,Cap'n Smollett,ally,4,4,4.0,3.0,10994.0,54.68,Cap'n Smollett,4.0,50.38,62.94,True,
Novel30,Giovanni 's,hero,112,38,38.0,3.0,21181.0,24.13,Giovanni,37.0,0.1,88.46,True,
Novel30,"Corona , with ready sympathy",hero,45,26,25.0,3.0,21181.0,24.13,Corona,24.0,0.16,88.52,True,
Novel30,Giovanni and Corona,hero,13,6,6.0,3.0,21181.0,24.13,Giovanni and Corona,6.0,0.1,88.46,True,
Novel30,servants,neutral,6,1,1.0,1.0,21181.0,28.34,servants,1.0,7.01,7.01,True,
Novel30,old Saracinesca,ally,12,12,14.0,3.0,21181.0,28.38,Saracinesca,12.0,7.88,90.28,True,
Novel30,Gouache 's,ally,12,12,55.0,3.0,21181.0,19.71,That,41.0,0.08,99.44,True,
Novel30,"Del Ferice , who , between fear and exhaustion , was by this time half idiotic",adversary,40,18,17.0,3.0,21181.0,25.81,Del Ferice,17.0,39.86,97.64,True,
